PIB File Number,Date Occurred,Originating Bureau,Division level,Division,Unit,Working Status,Shift,Investigation status,Disposition,Service Type,Light Condition,Weather Condition,Use of Force Type,Use of Force Level,Subject Influencing Factors,Use of Force Effective,Officer Race/Ethnicity,Officer Gender,Officer Age,Officer Years of Service,Distance Between,Subject Gender,Subject Ethnicity,Subject Age,Subject Build,Subject Height,Subject Injured,Subject Hospitalized,Subject Arrested,Subject Arrest Charges,Use of Force Reason,Officer Injured
FTN2016-0177,03/30/2016,FOB - Field Operations Bureau,4th District,2nd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Black | Black,Male | Male,37 | 35,21 | 8,15 feet to 18 feet,Male,Black,29,Small,5'10'' to 6'0'',Yes,Yes,No,,Other,No | No
FTN2016-0179,03/30/2016,FOB - Field Operations Bureau,7th District,Night Watch,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Hands | Hands,L1 | L1,Alchohol and unknown drugs,Yes | Yes,Black | Black,Female | Male,36 | 42,16 | 20,1 feet to 3 feet,Male,Black,32,Medium,5'4'' to 5'6'',No,No,Yes,,refuse verbal commands,No | No
FTN2016-0178,03/31/2016,FOB - Field Operations Bureau,8th District,Mounted,,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,Black,Male,50,24,1 feet to 3 feet,Female,White,,Medium,5'0'' to 5'3'',No,Yes,No,,Other,No
FTN2016-0180,03/31/2016,FOB - Field Operations Bureau,4th District,3rd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands | Hands,L1 | L1,Alchohol,Yes | Yes,Black | Black,Female | Male,32 | 44,14 | 9,0 feet to 1 feet,Female,White,35,Small,5'4'' to 5'6'',No,No,Yes,,Battery on Police Officer,No | No
FTN2016-0182,04/01/2016,FOB - Field Operations Bureau,7th District,Night Watch,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Rainy Conditions - Light,Firearm (Exhibited),L1,None detected,Yes,White,Male,,7,1 feet to 3 feet,Male,Black,37,Large,5'4'' to 5'6'',No,No,No,,Other,No
FTN2016-0183,04/01/2016,FOB - Field Operations Bureau,8th District,C Platoon,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Other,L2,Unknown,No,White,Male,54,24,1 feet to 3 feet,Male,Black,31,Medium,5'10'' to 6'0'',No,No,No,,Resisting Lawful Arrest,Yes
FTN2016-0187,04/04/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,42,22,4 feet to 6 feet,Male,Black,36,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0189,04/04/2016,FOB - Field Operations Bureau,6th District,D.I.U.,Property,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Female,33,16,7 feet to 10 feet,Male,Black,52,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0186,04/04/2016,FOB - Field Operations Bureau,8th District,A Platoon,,,,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Force (Take Down) | Force (Take Down) | Force (Escort Tech) | Force (Escort Tech),L2 | L2 | L1 | L1,Mentally unstable,Yes | Yes | Yes | Yes,Black | Black | Black | Black,Male | Female | Female | Female,43 | 38 | 40 | 42,20 | 17 | 23 | 21,,Female,Black,,,,No,Yes,No,,Other,No | No | No | No
FTN2016-0188,04/04/2016,MSB - Management Service Bureau,Education/Training & Recruitment Division,Training Section,Staff,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Mentally unstable,Yes | Yes,Black | White,Male | Male,39 | 40,12 | 19,1 feet to 3 feet,Male,Black,35,Medium,6'1'' to 6'3'',No,No,Yes,,refuse verbal commands,No | No
FTN2016-0191,04/05/2016,FOB - Field Operations Bureau,6th District,D.I.U.,Property,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Force (Take Down) | Hands | Force (Take Down) | Hands,L1 | L2 | L1 | L2 | L1,Unknown,Yes | Yes | Yes | Yes | Yes,White | White | Black | Black | Black,Male | Male | Male | Male | Male,32 | 32 | 48 | 48 | 35,14 | 14 | 30 | 30 | 9,1 feet to 3 feet,Male,White,31,Large,6'1'' to 6'3'',Yes,Yes,Yes,,Battery on Police Officer,No | No | Yes | Yes | No
FTN2016-0193,04/05/2016,FOB - Field Operations Bureau,4th District,4th District,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,None detected | None detected | None detected,Yes,Black,Male,34,15,11 feet to 14 feet | 11 feet to 14 feet | 11 feet to 14 feet,Male | Male | Male,Black | Black | Black,19 | 19 | 20,Small | Small | Small,5'4'' to 5'6'' | 5'4'' to 5'6'' | 5'4'' to 5'6'',No | No | No,No | No | No,No | No | No,,Other,No
FTN2016-0190,04/05/2016,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,CEW Deployment | Force (Take Down) | Force (Take Down),L2 | L2 | L2,None detected,No | Yes | Yes,Black | Black | Black,Male | Male | Male,24 | 24 | 28,7 | 7 | 7,1 feet to 3 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2016-0190,04/05/2016,FOB - Field Operations Bureau,7th District,Day Watch,Patrol,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,CEW Deployment | Force (Take Down) | Force (Take Down),L2 | L2 | L2,None detected,No | Yes | Yes,Black | Black | Black,Male | Male | Male,24 | 24 | 28,7 | 7 | 7,1 feet to 3 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,Yes,Yes,,Resisting Lawful Arrest,No | No | No
FTN2016-0192,04/05/2016,FOB - Field Operations Bureau,5th District,Narcotics,,,,Completed,Use Of Force Authorized,Traffic Stop,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,None detected,Yes | Yes,Asian/Pacifi | Black,Male | Male,33 | 32,13 | 14,4 feet to 6 feet,Male,Black,25,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No | No
FTN2016-0195,04/07/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,White,Male,37,9,1 feet to 3 feet,Male,Black,38,Medium,5'7'' to 5'9'',No,No,Yes,,refuse verbal commands,No
FTN2016-0198,04/08/2016,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Domestic Violence Unit,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,CEW Exhibited/Laser,L1,Mentally unstable,Yes,White,Male,35,15,4 feet to 6 feet,Male,White,51,Medium,5'7'' to 5'9'',No,Yes,No,,refuse verbal commands,No
FTN2016-0196,04/08/2016,FOB - Field Operations Bureau,6th District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Force (Take Down),L1 | L2,Mentally unstable,Yes | Yes,White | White,Male | Male,37 | 37,21 | 9,0 feet to 1 feet,Male,Black,52,Medium,5'7'' to 5'9'',No,Yes,Yes,,Resisting Lawful Arrest,No | Yes
FTN2016-0201,04/09/2016,ISB - Investigations and Support Bureau,Criminal Investigations Division,Special Victims  Section,Domestic Violence Unit,,,Completed,Use Of Force Authorized,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),L2,Alchohol | Alchohol,Yes,White,Male,35,15,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,White | White,21 | 33,Small | Small,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,Yes | Yes,Yes | Yes,,Other,No
FTN2016-0199,04/09/2016,FOB - Field Operations Bureau,1st District,3rd Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Firearm (Discharged),L4,Unknown,Yes,Black,Male,51,12,,Male,,,,,Yes,Yes,No,,Other,No
FTN2016-0200,04/09/2016,FOB - Field Operations Bureau,5th District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Force (Take Down),L2,Mentally unstable,Yes,White,Male,39,12,0 feet to 1 feet,Male,Black,50,Medium,5'10'' to 6'0'',No,Yes,No,,Resisting Lawful Arrest,No
FTN2016-0202,04/09/2016,FOB - Field Operations Bureau,1st District,1st Platoon,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Force (Take Down) | Force (Take Down),L2 | L2,Alchohol | Alchohol,Yes | Yes,Asian/Pacifi | Hispanic,Male | Male,33 | 49,16 | 24,1 feet to 3 feet | 1 feet to 3 feet, | Male, | Black,,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No
FTN2016-0204,04/11/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,None detected | None detected | None detected | None detected,Yes | Yes | Yes,Black | White | Black,Male | Male | Male,35 | 52 | 47,17 | 30 | 24,0 feet to 1 feet | 0 feet to 1 feet | 0 feet to 1 feet | 0 feet to 1 feet,Male | Male | Male | Female,Black | Black | Black | Black,25 | 33 | 33 | 18,Large | Large | Large | Large,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No | No,No | No | No | No,Yes | Yes | Yes | Yes,,Other,No | No | No
FTN2016-0207,04/12/2016,FOB - Field Operations Bureau,2nd District,Narcotics,Patrol,,,Initial,Pending,Pedestrian Stop,Good,Clear Conditions,Force (Take Down),L2,Unknown Drugs,Yes,White,Male,50,14,0 feet to 1 feet,Female,Black,32,Medium,5'0'' to 5'3'',Yes,Yes,Yes,,Resisting Lawful Arrest,No
FTN2016-0209,04/12/2016,FOB - Field Operations Bureau,7th District,Task Force,A,,,Completed,Use Of Force Authorized,Call for Service,Good,Other,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown | Unknown,Yes | Yes | Yes | Yes,Black | Black | Black | White,Female | Male | Male | Male,35 | 47 | 33 | ,18 | 13 | 12 | 7,1 feet to 3 feet | 1 feet to 3 feet,Male | Male,Black | Black,18 | 21,Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No | No | No
FTN2016-0208,04/12/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Canine (No Bite),L1,Unknown,Yes,White,Male,36,13,0 feet to 1 feet,Male,Black,18,Small,5'7'' to 5'9'',No,No,Yes,,Escape,No
FTN2016-0206,04/12/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Canine (No Bite) | Hands,L1 | L1,None detected,Yes | Yes,White | Black,Male | Male,36 | 54,13 | 31,0 feet to 1 feet,Male,Black,19,Medium,5'7'' to 5'9'',No,No,Yes,,Escape,No | No
FTN2016-0210,04/13/2016,FOB - Field Operations Bureau,7th District,7th District,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment,L2 | L2,,Limited | Yes,Race-Unknown | Race-Unknown,Male | Male,28 | 28,6 | 6,,Male,,,,,Yes,Yes,No,,refuse verbal commands,No | No
FTN2016-0210,04/13/2016,FOB - Field Operations Bureau,7th District,7th District,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Deployment | CEW Deployment,L2 | L2,,Limited | Yes,Race-Unknown | Race-Unknown,Male | Male,28 | 28,6 | 6,,Male,,,,,Yes,Yes,No,,refuse verbal commands,No | No
FTN2016-0211,04/14/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1,Alchohol,Yes | No,Black | Black,Male | Male,27 | 27,12 | 12,7 feet to 10 feet,Male,Black,52,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0211,04/14/2016,FOB - Field Operations Bureau,7th District,Day Watch,,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,CEW Exhibited/Laser | Firearm (Exhibited),L1 | L1,Alchohol,Yes | No,Black | Black,Male | Male,27 | 27,12 | 12,7 feet to 10 feet,Male,Black,52,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0215 ,04/14/2016,FOB - Field Operations Bureau,5th District,A Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,41,13,11 feet to 14 feet,Male,Black,16,Medium,5'7'' to 5'9'',No,Yes,Yes,,refuse verbal commands,No
FTN2016-0216,04/16/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown | Unknown,Yes | Yes,White | Hispanic,Male | Male,33 | 28,12 | 12,11 feet to 14 feet | 11 feet to 14 feet,Female | Male,Black | Black,23 | 24,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,No | No,Yes | Yes,,Other,No | No
FTN2016-0214,04/17/2016,FOB - Field Operations Bureau,2nd District,C Platoon,Patrol,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Alchohol and unknown drugs,Yes | Yes,Black | Black,Male | Male,37 | 46,16 | 24,1 feet to 3 feet,Male,White,,Medium,5'10'' to 6'0'',No,Yes,No,,Other,No | No
FTN2016-0212,04/17/2016,FOB - Field Operations Bureau,1st District,Narcotics,,,,Completed,Use Of Force Authorized,Arresting,Poor,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Force (Escort Tech) | Firearm (Exhibited),L1 | L1 | L1 | L1,Unknown | Unknown | Unknown,Yes | Yes | Yes | Yes,Hispanic | Black | Black | White,Male | Male | Male | Male,28 | 36 | 36 | 25,12 | 17 | 17 | 7,1 feet to 3 feet | 1 feet to 3 feet | 1 feet to 3 feet,Male | Male | Male,Black | Black | Black,23 |  | 19,Medium | Medium | Medium,5'10'' to 6'0'' | 5'10'' to 6'0'' | 5'10'' to 6'0'',No | No | No,No | No | No,Yes | Yes | Yes,,refuse verbal commands,No | No | No | No
FTN2016-0213,04/18/2016,FOB - Field Operations Bureau,3rd District,C Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Hands | Hands | Hands | CEW Deployment,L1 | L1 | L1 | L2,Alchohol,No | Yes | No | Yes,Black | Black | White | White,Male | Male | Male | Male,55 | 55 | 29 | 29,33 | 33 | 7 | 7,1 feet to 3 feet,Male,Black,37,Medium,6'1'' to 6'3'',No,Yes,No,,Resisting Lawful Arrest,No | No | No | No
FTN2016-0217,04/18/2016,FOB - Field Operations Bureau,2nd District,Detailed/Other,,,,Completed,Use Of Force Authorized,Other,,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,43,23,15 feet to 18 feet,Male,Black,17,Medium,5'0'' to 5'3'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0218,04/20/2016,FOB - Field Operations Bureau,6th District,A Platoon,,Regular Working,Between 7am-3pm,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands,L1,Mentally unstable,Yes,White,Male,54,18,0 feet to 1 feet,Male,Black,14,Medium,5'7'' to 5'9'',No,Yes,No,,Other,No
FTN2016-0219,04/22/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Asian/Pacifi,Male,31,15,1 feet to 3 feet,Male,White,20,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0220,04/22/2016,FOB - Field Operations Bureau,5th District,B Platoon,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Hands | Other,L1 | L1,Unknown | Unknown,Yes | Yes,White | Black,Male | Male,39 | 27,14 | 7,0 feet to 1 feet | 0 feet to 1 feet,Male | Female,Black | White,32 | 24,Medium | Medium,5'7'' to 5'9'' | 5'7'' to 5'9'',No | No,Yes | Yes,Yes | Yes,,refuse verbal commands,No | No
FTN2016-0222,04/23/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser | CEW Exhibited/Laser,L1 | L1,None detected,Yes | No,Black | White,Female | Male,47 | 45,13 | 23,4 feet to 6 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0222,04/23/2016,FOB - Field Operations Bureau,3rd District,B Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,CEW Exhibited/Laser | CEW Exhibited/Laser,L1 | L1,None detected,Yes | No,Black | White,Female | Male,47 | 45,13 | 23,4 feet to 6 feet,Male,Black,23,Medium,5'10'' to 6'0'',No,No,Yes,,Resisting Lawful Arrest,No | No
FTN2016-0234,04/23/2016,FOB - Field Operations Bureau,3rd District,A Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited),L1 | L1 | L1,,Yes | Yes | Yes,Black | Black | White,Male | Male | Male,32 | 43 | 60,15 | 24 | 18,,Male,White,38,,,No,No,No,,Other,No | No | No
FTN2016-0223,04/24/2016,FOB - Field Operations Bureau,7th District,Night Watch,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Alchohol,Yes,Black,Male,33,17,11 feet to 14 feet,Male,Asian,30,Medium,< 5'0'',No,No,No,,Other,No
FTN2016-0224,04/24/2016,FOB - Field Operations Bureau,4th District,Task Force,B,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,Black,Male,35,8,11 feet to 14 feet,Male,Black,25,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0225,04/25/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,Unknown,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited),L1,None detected,Yes,Black,Male,48,19,1 feet to 3 feet,Female,Black,86,Medium,5'7'' to 5'9'',No,No,No,,Other,No
FTN2016-0228,04/25/2016,FOB - Field Operations Bureau,6th District,Staff,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Call for Service,Poor,Clear Conditions,Force (Escort Tech) | Hands | Hands | Other | Force (Take Down),L1 | L1 | L1 | L1 | L2,Unknown,Yes | Yes | Yes | Yes | Yes,Hispanic | Hispanic | White | White | White,Male | Male | Male | Male | Male,29 | 29 | 29 | 29 | 29,13 | 13 | 6 | 6 | 6,1 feet to 3 feet,Female,Black,16,Medium,5'4'' to 5'6'',Yes,Yes,Yes,,Other,No | No | No | No | No
FTN2016-0229,04/26/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,2nd Platoon,,,Completed,Use Of Force Authorized,Arresting,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,42,12,1 feet to 3 feet,Male,Black,23,Large,5'7'' to 5'9'',No,No,Yes,,Other,No
FTN2016-0230,04/26/2016,FOB - Field Operations Bureau,Special Operations Division,Tactical Section,1st Platoon,,,Completed,Use Of Force Authorized,Serving a Warrant,Good,Clear Conditions,Firearm (Exhibited) | Firearm (Exhibited),L1 | L1,Unknown,Yes | Yes,Asian/Pacifi | White,Male | Male,31 | 38,15 | 14,1 feet to 3 feet,Male,Black,46,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No | No
FTN2016-0235,04/26/2016,FOB - Field Operations Bureau,Special Operations Division,K9 Section,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Other,Good,Clear Conditions,Rifle (Pointed) | Canine (No Bite),L1 | L2,Unknown | Unknown,Yes | Yes,Asian/Pacifi | Black,Male | Male,33 | 43,13 | 23,11 feet to 14 feet | 11 feet to 14 feet,Male | Male,Black | Black,17 | 26,Medium | Medium,6'1'' to 6'3'' | 6'1'' to 6'3'',No | No,No | No,Yes | Yes,,Resisting Lawful Arrest,No | No
FTN2016-0232,04/27/2016,FOB - Field Operations Bureau,7th District,Evening Watch,,Unknown Working Status,Unknown Shift Hours,Completed,Use Of Force Authorized,Traffic Stop,Good,Clear Conditions,Firearm (Exhibited),L1,Unknown,Yes,White,Male,36,7,11 feet to 14 feet,Male,Black,,Medium,5'10'' to 6'0'',No,No,Yes,,Other,No
FTN2016-0233,04/27/2016,FOB - Field Operations Bureau,3rd District,C Platoon,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Firearm (Exhibited),L1,Alchohol,Yes,White,Male,38,7,0 feet to 1 feet,Male,White,24,Medium,5'7'' to 5'9'',No,No,Yes,,Resisting Lawful Arrest,No
FTN2016-0236,04/28/2016,PIB - Public Integrity Bureau,Force Investigation Team,,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | CEW Deployment | Hands | CEW Deployment,L1 | L2 | L1 | L2,,No | No | No | No,White | White | Black | Black,Male | Male | Male | Male,44 | 44 | 50 | 50,14 | 14 | 22 | 22,,Male,White,42,,,No,No,No,,refuse verbal commands,No | No | No | No
FTN2016-0238,04/28/2016,FOB - Field Operations Bureau,5th District,,,,,Completed,Use Of Force Authorized,Call for Service,Good,Clear Conditions,Hands | Hands,L1 | L1,Unknown Drugs,Yes | Yes,White | White,Male | Male,40 | 23,19 | 6,0 feet to 1 feet,Male,Black,37,Small,5'7'' to 5'9'',No,No,No,,refuse verbal commands,No | No
