 RIN, Primary Key, Date Occurred, Time Occurred, Location, Area Command, Nature of Contact, Reason Desc, R2R Level,Master Subject ID, Subject Sex, Subject Race, Subject Ethnicity, Subject Conduct Desc, Subject Resistance, Weapon Used 1, Weapon Used 2,Weapon Used 3, Weapon Used 4, Weapon Used 5, Number Shots, Subject Effects, Effect on Officer, Officer Organization Desc, Officer Commission Date,Officer Yrs of Service, X-Coordinate, Y-Coordinate,CouncilDistrict
"154,666","201,540,138",01/04/2015 12:00:00 AM,0154,206 W WILLIAM CANNON DR,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,186845270: 201540138,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 400 REG IV PATROL,03/22/2013 12:00:00 AM,2,"3,102,872","10,043,682",2
"154,667","201,540,138",01/04/2015 12:00:00 AM,0154,206 W WILLIAM CANNON DR,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,186845270: 201540138,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,CED - DRIVE STUN-ENTER # SHOTS,,,,,2,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,FRANK 400 REG IV PATROL,11/30/2012 12:00:00 AM,2,"3,102,872","10,043,682",2
"154,668","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356652526: 201540052,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I PATROL,03/22/2013 12:00:00 AM,2,"3,115,647","10,070,017",9
"154,669","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356654464: 201540052,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 200 REG II PATROL,03/22/2013 12:00:00 AM,2,"3,115,647","10,070,017",9
"154,670","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356654464: 201540052,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I PATROL,06/20/2008 12:00:00 AM,7,"3,115,647","10,070,017",9
"154,671","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356652526: 201540052,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,GEORGE 600 REG I PATROL,01/04/2008 12:00:00 AM,7,"3,115,647","10,070,017",9
"154,681","201,540,141",01/04/2015 12:00:00 AM, ,1511 FARO DR,HE,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,3,459200318: 201540141,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REG III PATROL,12/13/2013 12:00:00 AM,1,"3,123,815","10,058,962",3
"154,682","201,540,141",01/04/2015 12:00:00 AM,0139,1511 FARO DR,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459229492: 201540141,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REG III PATROL,03/21/2014 12:00:00 AM,1,"3,123,815","10,058,962",3
"154,683","201,541,191",01/04/2015 12:00:00 AM, ,13601 ELM RIDGE LN,AD,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459229499: 201541191,M,M,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; PASSIVE RESISTANCE; EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 300 REG II PATROL,11/21/1997 12:00:00 AM,17,"3,127,904","10,131,452",7
"154,701","201,540,520",01/04/2015 12:00:00 AM,1404,8800 N IH 35 SVRD SB,ED,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,3,211553480: 201540520,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,CED - PRONGS-ENTER # SHOTS,,,,,2,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,03/23/2012 12:00:00 AM,3,"3,129,363","10,101,734",4
"154,803","201,540,141",01/04/2015 12:00:00 AM, ,1511 FARO DR,HE,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459229492: 201540141,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REG III PATROL,12/13/2013 12:00:00 AM,1,"3,123,815","10,058,962",3
"154,819","201,541,191",01/04/2015 12:00:00 AM, ,13601 ELM RIDGE LN,AD,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459229499: 201541191,M,M,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,VERBAL RESISTANCE/AGGRESSION; PASSIVE RESISTANCE; EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,MINOR INJURY,ADAM 400 REG II PATROL,04/23/2010 12:00:00 AM,5,"3,127,904","10,131,452",7
"154,860","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356654464: 201540052,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 200 REG II PATROL,03/22/2013 12:00:00 AM,2,"3,115,647","10,070,017",9
"154,861","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356652526: 201540052,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,ADAM 200 REG II PATROL,03/22/2013 12:00:00 AM,2,"3,115,647","10,070,017",9
"154,862","201,540,520",01/04/2015 12:00:00 AM,1404,8800 N IH 35 SVRD SB,ED,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,2,211553480: 201540520,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE; OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,11/30/2012 12:00:00 AM,2,"3,129,363","10,101,734",4
"154,863","201,540,520",01/04/2015 12:00:00 AM,1404,8800 N IH 35 SVRD SB,ED,OTHER,NECESSARY TO EFFECT ARREST / DETENTION,3,211553480: 201540520,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,EDWARD 100 REG II PATROL,06/23/2006 12:00:00 AM,9,"3,129,363","10,101,734",4
"154,864","201,540,052",01/04/2015 12:00:00 AM,0032,500 NECHES ST,GE,VIEWED OFFENSE,NECESSARY TO EFFECT ARREST / DETENTION,3,356654464: 201540052,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,CHARLIE 700 REG III PATROL,07/13/2012 12:00:00 AM,2,"3,115,647","10,070,017",9
"155,243","201,540,138",01/04/2015 12:00:00 AM, ,206 W WILLIAM CANNON DR,FR,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,186845270: 201540138,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,FRANK 400 REG IV PATROL,12/12/2014 12:00:00 AM,0,"3,102,872","10,043,682",2
"154,721","201,551,731",01/05/2015 12:00:00 AM,2252,2717 S LAMAR BLVD,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459218726: 201551731,F,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 800 REG IV PATROL,10/07/2011 12:00:00 AM,3,"3,102,435","10,061,767",5
"154,722","201,551,731",01/05/2015 12:00:00 AM,2313,2717 S LAMAR BLVD,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459218726: 201551731,F,W,N,EDP/MENTALLY UNSTABLE,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 800 REG IV PATROL,05/06/2013 12:00:00 AM,2,"3,102,435","10,061,767",5
"154,779","201,551,469",01/05/2015 12:00:00 AM,2002,11441 N IH 35 SVRD NB,ED,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,459214216: 201551469,M,W,H,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,EDWARD 300 REG II PATROL,03/22/2013 12:00:00 AM,2,"3,135,376","10,111,678",1
"154,720","201,560,056",01/06/2015 12:00:00 AM,0100,2121 DICKSON DR,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,0,,,,,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,OTHER,,,,,0,,,DAVID 800 REG IV PATROL,05/10/2002 12:00:00 AM,13,"3,102,347","10,062,570",5
"154,762","201,570,143",01/07/2015 12:00:00 AM, ,321 W BEN WHITE BLVD SVRD EB,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,208667283: 201570143,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,DAVID 700 REG IV PATROL,03/23/2012 12:00:00 AM,3,"3,106,915","10,054,630",3
"154,763","201,570,143",01/07/2015 12:00:00 AM,0221,321 W BEN WHITE BLVD SVRD EB,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,208667283: 201570143,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,MINOR INJURY,DAVID 700 REG IV PATROL,11/30/2012 12:00:00 AM,2,"3,106,915","10,054,630",3
"154,800","201,571,040",01/07/2015 12:00:00 AM, ,4708 ENCHANTED LN,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,17367835: 201571040,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,01/02/2009 12:00:00 AM,6,"3,100,255","10,053,763",5
"154,801","201,570,143",01/07/2015 12:00:00 AM, ,321 W BEN WHITE BLVD SVRD EB,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,208667283: 201570143,M,B,N,,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,DAVID 700 REG IV PATROL,03/23/2012 12:00:00 AM,3,"3,106,915","10,054,630",3
"154,802","201,570,193",01/07/2015 12:00:00 AM,0339,4138 TRAVIS COUNTRY CIR,DA,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,458917136: 201570193,F,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN,NO COMPLAINT OF INJURY/PAIN,DAVID 700 REG IV PATROL,06/20/2008 12:00:00 AM,7,"3,086,701","10,064,236",8
"154,822","201,571,040",01/07/2015 12:00:00 AM,1520,4708 ENCHANTED LN,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,17367835: 201571040,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,11/30/2012 12:00:00 AM,2,"3,100,255","10,053,763",5
"154,823","201,571,040",01/07/2015 12:00:00 AM,1525,4708 ENCHANTED LN,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,3,17367835: 201571040,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND ACTIVE AGGRESSION,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,12/13/2013 12:00:00 AM,1,"3,100,255","10,053,763",5
"154,839","201,570,432",01/07/2015 12:00:00 AM,0845,4300 AVENUE G,BA,DISPATCHED CALL,NECESSARY TO DEFEND REPORTING OFFICER,3,459055046: 201570432,M,W,H,,EMPTY HAND DEFENSIVE RESISTANCE; OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,MINOR INJURY,BAKER 200 REG I PATROL,05/25/2001 12:00:00 AM,14,"3,118,657","10,084,585",9
"154,840","201,570,193",01/07/2015 12:00:00 AM,0340,4138 TRAVIS COUNTRY CIR,DA,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,458917136: 201570193,F,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN,,DAVID 700 REG IV PATROL,11/30/2012 12:00:00 AM,2,"3,086,701","10,064,236",8
"154,841","201,570,432",01/07/2015 12:00:00 AM,0845,4300 AVENUE G,BA,DISPATCHED CALL,NECESSARY TO DEFEND ANOTHER,3,459055046: 201570432,M,W,H,,EMPTY HAND DEFENSIVE RESISTANCE; OTHER,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,NO COMPLAINT OF INJURY/PAIN,BAKER 200 REG I PATROL,05/25/2001 12:00:00 AM,14,"3,118,657","10,084,585",9
"154,804","201,580,171",01/08/2015 12:00:00 AM,0322,7908 CROFTWOOD DR,DA,DISPATCHED CALL,NECESSARY TO EFFECT ARREST / DETENTION,2,318905459: 201580171,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,EMPTY HAND DEFENSIVE RESISTANCE,CANINE - BITE,,,,,,MINOR INJURY,NO COMPLAINT OF INJURY/PAIN,K9 PATROL SPECIAL OPS,11/17/1989 12:00:00 AM,25,"3,083,914","10,047,259",8
